subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
14,8,0.11,CS,1050,,2.14,1.462873884,1
14,9,0.55,CSUS,1191,,2.865,1.692631088,2
14,10,0.55,CS,1415,,1.306,1.14280357,2
14,11,0.11,CS,1374,,0.527,0.725947657,1
14,12,0.55,CSUS,1399,,1.982,1.407835218,2
14,13,0.11,CS,1100,,0.239,0.488876262,1
14,14,0.11,CS,1046,,0.66,0.81240384,1
14,15,0.55,CS,1252,,0.64,0.8,2
14,16,0.55,CSUS,1578,,2.819,1.67898779,2
14,17,0.11,CS,1547,,0.283,0.531977443,1
14,18,0.55,CSUS,1206,,1.954,1.3978555,2
14,19,0.11,CS,1238,,0.189,0.434741302,1
14,20,0.55,CSUS,1339,,2.536,1.592482339,2
14,21,0.11,CS,1251,,0.755,0.86890736,1
14,22,0.55,CS,1539,,0.115,0.339116499,2
14,23,0.55,CSUS,2185,,2.746,1.657105911,2
14,24,0.11,CS,1268,,0.172,0.414728827,1
14,25,0.55,CSUS,1359,,2.383,1.543696861,2
14,26,0.11,CS,1277,,0.457,0.676017751,1
14,27,0.11,CS,1654,,0.106,0.325576412,1
14,28,0.11,CS,1336,,0.382,0.618061486,1
14,29,0.55,CSUS,1724,,3.054,1.747569741,2
14,30,0.11,CS,1909,,0.231,0.480624594,1
15,1,0.11,CS,1342,,0.938,0.968504001,1
15,2,0.55,CS,1639,,0.552,0.742967025,2
15,3,0.55,CS,1475,,0.611,0.78166489,2
15,4,0.11,CS,830,,0.753,0.867755726,1
15,5,0.11,CS,644,,0.337,0.580517011,1
15,6,0.55,CS,951,,0.199,0.44609416,2
15,7,0.55,CSUS,812,,2.241,1.496996994,2
15,8,0.11,CS,670,,0.469,0.684835747,1
15,9,0.55,CSUS,566,,1.513,1.23004065,2
15,10,0.55,CS,687,,0.523,0.723187389,2
15,11,0.11,CS,469,,0.323,0.56833089,1
15,12,0.55,CSUS,588,,1.133,1.064424727,2
15,13,0.11,CS,630,,0.03,0.173205081,1
15,14,0.11,CS,738,,0.495,0.703562364,1
15,15,0.55,CS,715,,0.689,0.830060239,2
15,16,0.55,CSUS,646,,1.44,1.2,2
15,17,0.11,CS,683,,0.057,0.238746728,1
15,18,0.55,CSUS,772,,1.663,1.289573573,2
15,19,0.11,CS,576,,0.268,0.517687164,1
15,20,0.55,CSUS,621,,1.147,1.070980859,2
15,21,0.11,CS,615,,0.128,0.357770876,1
15,22,0.55,CS,453,,0.369,0.607453702,2
15,23,0.55,CSUS,518,,1.135,1.065363788,1
15,24,0.11,CS,862,,0.343,0.585662019,1
15,25,0.55,CSUS,687,,1.515,1.230853363,2
15,26,0.11,CS,990,,0.714,0.844985207,1
15,27,0.11,CS,547,,0.134,0.366060104,1
15,28,0.11,CS,623,,0.775,0.880340843,1
15,29,0.55,CSUS,469,,0.997,0.998498873,2
15,30,0.11,CS,612,,0.076,0.275680975,1
16,1,0.55,CS,1426,,0.274,0.523450093,2
16,2,0.11,CS,1074,,0.404,0.635609943,1
16,3,0.11,CS,985,,0.086,0.293257566,1
16,4,0.55,CS,1081,,0.062,0.248997992,2
16,5,0.11,CS,1410,,0.376,0.613188389,1
16,6,0.55,CS,734,,0.465,0.681909085,2
16,7,0.55,CSUS,823,,1.296,1.138419958,2
16,8,0.11,CS,692,,0.428,0.654217089,1
16,9,0.55,CSUS,711,,0.685,0.827647268,2
16,10,0.55,CS,749,,0.379,0.615629759,2
16,11,0.11,CS,755,,0.361,0.600832755,1
16,12,0.55,CSUS,569,,0.823,0.907193474,2
16,13,0.11,CS,754,,0.515,0.717635005,1
16,14,0.11,CS,985,,0.144,0.379473319,1
16,15,0.55,CS,559,,0.192,0.438178046,2
16,16,0.55,CSUS,684,,0.843,0.918150314,2
16,17,0.11,CS,940,,0.216,0.464758002,1
16,18,0.55,CSUS,767,,0.885,0.940744386,2
16,19,0.11,CS,941,,0.123,0.350713558,1
16,20,0.55,CSUS,1026,,0.657,0.810555365,2
16,21,0.11,CS,871,,0.149,0.386005181,1
16,22,0.55,CS,700,,0.169,0.411096096,2
16,23,0.55,CSUS,729,,0.756,0.869482605,2
16,24,0.11,CS,1288,,0.154,0.392428337,1
16,25,0.55,CSUS,653,,0.718,0.847348807,2
16,26,0.11,CS,1095,,0.048,0.219089023,1
16,27,0.11,CS,722,,0.309,0.555877684,1
16,28,0.11,CS,745,,0.039,0.197484177,1
16,29,0.55,CSUS,674,,0.978,0.988938825,2
16,30,0.11,CS,1145,,0.051,0.225831796,1
17,1,0.55,CS,3625,,2.995,1.73060683,2
17,2,0.11,CS,1534,,1.463,1.209545369,1
17,3,0.11,CS,1354,,1.171,1.082127534,1
17,4,0.55,CS,2523,,1.899,1.378042089,2
17,5,0.11,CS,996,,0.36,0.6,1
17,6,0.55,CS,1724,,0.146,0.382099463,2
17,7,0.55,CSUS,1881,,5.21,2.282542442,2
